result_type,model,surface,benchmark_or_pack,domain_or_task,runs,passed,pass_rate,available,wall_duration_ms,failure_class_or_modes,source_file,notes
operation_domain,deepseek-r1:8b,ollama_http,operations_first_pack_2026-06-07,conceptualization_strategy,1,0,0.0,,,"{""unavailable_or_timeout"": 1}",C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Domain score from deterministic fixture validator.
operation_domain,deepseek-r1:8b,ollama_http,operations_first_pack_2026-06-07,data_analytics_kpi_diagnostics,1,0,0.0,,,"{""unavailable_or_timeout"": 1}",C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Domain score from deterministic fixture validator.
operation_domain,deepseek-r1:8b,ollama_http,operations_first_pack_2026-06-07,financial_operations,1,0,0.0,,,"{""unavailable_or_timeout"": 1}",C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Domain score from deterministic fixture validator.
operation_domain,deepseek-r1:8b,ollama_http,operations_first_pack_2026-06-07,full_business_operations,1,0,0.0,,121613.2,"{""empty_content"": 1}",C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Domain score from deterministic fixture validator.
operation_domain,deepseek-r1:8b,ollama_http,operations_first_pack_2026-06-07,market_forecasting_backtest,1,0,0.0,,,"{""unavailable_or_timeout"": 1}",C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Domain score from deterministic fixture validator.
operation_domain,deepseek-r1:8b,ollama_http,operations_first_pack_2026-06-07,memory_context_management,1,0,0.0,,,"{""unavailable_or_timeout"": 1}",C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Domain score from deterministic fixture validator.
operation_domain,deepseek-r1:8b,ollama_http,operations_first_pack_2026-06-07,model_to_model_orchestration,1,0,0.0,,,"{""unavailable_or_timeout"": 1}",C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Domain score from deterministic fixture validator.
operation_domain,deepseek-r1:8b,ollama_http,operations_first_pack_2026-06-07,multi_agent_decomposition,1,0,0.0,,,"{""unavailable_or_timeout"": 1}",C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Domain score from deterministic fixture validator.
operation_domain,deepseek-r1:8b,ollama_http,operations_first_pack_2026-06-07,public_content_law,1,0,0.0,,,"{""unavailable_or_timeout"": 1}",C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Domain score from deterministic fixture validator.
operation_domain,deepseek-r1:8b,ollama_http,operations_first_pack_2026-06-07,regex_pattern_creation,1,0,0.0,,116792.5,"{""empty_content"": 1}",C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Domain score from deterministic fixture validator.
